COD,COD_DESC
610_OTH,Other cancer
680,"Trachea, bronchus, lung cancers"
650,Colon and rectum cancers
660,Liver cancer
640,Stomach cancer
700,Breast cancer
630,Oesophagus cancer
740,Prostate cancer
670,Pancreas cancer
760,"Lymphomas, multiple myeloma"
620,Mouth and oropharynx cancers
710,Cervix uteri cancer
750,Bladder cancer
950,Alzheimer disease and other dementias
390,Lower respiratory infections
1130,Ischaemic heart disease
1140,Stroke
1180,Chronic obstructive pulmonary disease
800,Diabetes mellitus
1270,Kidney diseases
1160,Other circulatory diseases
1230,Cirrhosis of the liver
1510,Injuries
0,Other diseases
1250,Other digestive diseases
1190,Asthma
1150,"Cardiomyopathy, myocarditis, endocarditis"
110,Diarrhoeal diseases
1570,Drowning
1550,Falls
100,HIV/AIDS
1120,Hypertensive heart disease
1620,Interpersonal violence
770,Leukaemia
420,Maternal conditions
490,Neonatal conditions
370,Other infectious diseases
1200,Other respiratory diseases
550,Protein-energy malnutrition
1110,Rheumatic heart disease
1530,Road injury
1610,Self-harm
30,Tuberculosis
220,Malaria and other vector borne diseases
1600_OTH,Other intentional injuries
780,Other malignant neoplasms
10,"Communicable, maternal, perinatal and nutritional conditions"
600,Noncommunicable diseases
1590,Other unintentional injuries
OTH,Other
