ICT_SKILL,ICT_SKILL_DESC
INST,Connecting and installing new devices
COPA,Using copy and paste tools to duplicate or move information within a document
SOFT,"Finding, downloading, installing and configuring software"
PCPR,Writing a computer program using a specialized programming language
EPRS,Creating electronic presentations with presentation software
CMFL,Copying or moving a file or folder
ARSP,Using basic arithmetic formula in a spreadsheet
TRAF,Transferring files between a computer and other devices
EMAIL,Sending e-mails with attached files
