MINISTER_PORTFOLIO,MINISTER_PORTFOLIO_DESC
_T,Total
25,Parliamentary Affairs
10,Information / Media
24,Population
9,Transport
29,Human Rights
5,Defence and Veteran Affairs
3,Finance / Budget
11,Communications / Telecommunications / Postal Affairs
4,Economy / Development
23,Public Administration / Public Service
17,Tourism
27,Local Government
15,Sports
20,Justice
7,Housing and Urban Affairs
19,Health
21,Agriculture / Food / Forestry / Fishing
6,Home Affairs / Immigration (including Integration and refugees)
1,Foreign Affairs (including Development Assistance)
26,Research and Development / Science and Technology
8,Public Works / Territorial Planning
13.5,Education
2,Trade / Industry
16,Culture
13,Women's Affairs / Gender Equality
18,Employment / Labour / Vocational Training
22,Environment / Natural Resources / Energy
28,Social Affairs
12,Family / Children / Youth / Elderly / Disabled
